Rmin,NADG,EDG,Best
1,1675.865,824.375,1836.828913
2,1670.88,808.6,1836.828913
3,1669.645,828.805,1836.828913
4,1667.475,850.7,1836.828913
5,1663.54,894.525,1836.828913
6,1662.27,872.65,1836.828913
7,1659.34,934.75,1836.828913
8,1663.16,948.03,1836.828913
9,1672.045,942.335,1836.828913
10,1666.07,992.465,1836.828913
11,1670.78,1031.595,1836.828913
12,1664.03,1060.97,1836.828913
13,1668.06,1093.225,1836.828913
14,1669.345,1162.725,1836.828913
15,1666.725,1227,1836.828913
16,1674.38,1269.24,1836.828913
17,1666.985,1302.625,1836.828913
18,1661.06,1352.475,1836.828913
19,1666.72,1404.27,1836.828913
20,1665.85,1468.595,1836.828913
21,1676.695,1520.05,1836.828913
22,1691.625,1590.95,1836.828913
23,1723.12,1655.68,1836.828913
24,1765.49,1713.51,1836.828913
25,1809,1780,1836.828913