k,NADG,EDG,ODG,CDG,Best
2,0,0,0,0,0
3,788.28505,258.08,725.2155,240,811.898816
4,1237.84555,430.155,1117.609,409.75,1250
5,1446.5223,673.685,1336.0545,593.75,1486.025807
6,1578.9027,882.305,1459.9845,738,1623.797632
7,1672.945,986.895,1542.6715,843.48,1710.256368
8,1720.97195,1083.255,1594.2195,866.24,1767.766953
9,1746.9355,1152.185,1627.1325,990,1807.840152
10,1791.5331,1170.995,1656.153,884.39,1836.828913
11,1806.8448,1195.63,1668.172,932.34,1858.45281
12,1816.99375,1244.38,1689.039,908.62,1875
13,1832.9956,1249.505,1703.052,929.07,1887.937886
14,1846.81465,1266.05,1713.447,894.475,1898.241359
15,1850.24935,1269.105,1722.51,903.975,1906.578014
16,1876.10055,1275.165,1723.3385,978.255,1913.417162
17,1859.93285,1288.815,1733.9715,916.94,1919.096352
18,1860.2913,1264.505,1737.9855,936.365,1923.863306
19,1870.21555,1275.77,1741.8015,856.995,1927.903098
20,1881.52545,1291.825,1741.347,951.32,1931.356215
21,1879.64225,1310.15,1747.755,942.25,1934.330832
22,1877.43805,1291.06,1749.4515,968.945,1936.911328
23,1870.4135,1311.145,1749.9915,959.935,1939.164293
24,1889.30435,1290.24,1751.2855,993.295,1941.142838
25,1894.3601,1298.78,1753.569,948.3,1942.889743
26,1894.2424,1301.425,1757.187,947.74,1944.439772
27,1887.9508,1303.52,1756.3005,1000.755,1945.821409
28,1900.03645,1322.98,1757.079,984.29,1947.058172
29,1896.361,1313.315,1760.8545,927.79,1948.169614
30,1902.59375,1318.96,1761.255,967.78,1949.172101
31,1889.4381,1320.425,1766.207,938.755,1950.079413
32,1894.35475,1318.95,1762.6275,937.47,1950.90322
33,1897.645,1315.96,1764.9945,987.96,1951.653457
34,1896.1791,1316.385,1767.1905,919.635,1952.338627
35,1902.09085,1337.23,1766.3265,954.085,1952.966037
36,1896.92275,1320.585,1766.232,969.995,1953.541999
37,1899.39445,1323.755,1768.0365,936.715,1954.071985
38,1908.51085,1329.735,1766.5695,961.925,1954.56076
39,1901.06365,1320.475,1768.1355,968.395,1955.012485
40,1901.06365,1326.465,1768.1355,944.25,1955.430813